trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
786,False,"{'a': 0.5, 'e': 0.043110012511519386}",20,11,9.377548222325412,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
787,False,"{'a': 0.5, 'e': 0.042937916882192735}",25,13,22.029411252328146,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
788,False,"{'a': 0.5, 'e': 0.04276650826045222}",25,14,20.088991493320464,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
789,False,"{'a': 0.5, 'e': 0.042595783903756214}",25,8,30.50327625834103,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
790,False,"{'a': 0.5, 'e': 0.042425741080511385}",30,16,17.85954935413659,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
791,False,"{'a': 0.5, 'e': 0.042256377070028925}",25,20,10.587288827964386,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
792,False,"{'a': 0.5, 'e': 0.042087689162481054}",25,15,14.804387998615027,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
793,False,"{'a': 0.5, 'e': 0.04191967465885765}",25,14,22.076792342163362,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
794,False,"{'a': 0.5, 'e': 0.04175233087092308}",20,9,19.716930302870566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
795,False,"{'a': 0.5, 'e': 0.04158565512117316}",20,12,13.267041828342899,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
796,False,"{'a': 0.5, 'e': 0.04141964474279235}",20,13,13.335016076519578,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
797,False,"{'a': 0.5, 'e': 0.04125429707961103}",20,12,-28.97598855706268,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
798,False,"{'a': 0.5, 'e': 0.04108960948606308}",35,17,35.315293178040264,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
